word,sentiment
avurtlamak,negative
fesat karıştırmak,negative
işgüzarlık etmek,negative
avane,negative
gözünden kaçırmak,negative
içi vık vık etmek,negative
canı bayılmak,negative
algofobi,negative
kuru kemik,negative
eroinman,negative
uyku nedir bilmeden,negative
ayakkabı vurmak,negative
meşkûk,negative
kesip biçmek,negative
avara,negative
ortalık karışmak,negative
heyelan,negative
sıkıntılı,negative
yüze vurmak,negative
bok üstün bok,negative
azgın,negative
nasır,negative
düdük makarnası,negative
sokaktan toplamak,negative
silip süpürmek,negative
düşüp kalkmak,negative
malumatsız,negative
ihtiyatsızca,negative
rezillik,negative
zevksiz,negative
şeytana pabucu ters giydirmek,negative
eziyet vermek,negative
ipe sapa gelmemek,negative
belini kırmak,negative
şafii köpeğine dönmek,negative
ruhsal gerilim,negative
yere batsın,negative
kullanışsız,negative
sakalına gülmek,negative
üzerine bir bardak su içmek,negative
ağır para cezası,negative
kofluk,negative
gevezelik etmek,negative
ölüm döşeği,negative
deve kuşu gibi başını kuma gömmek,negative
gücüne koşmak,negative
adı kaldırılmak,negative
hurdahaş etmek,negative
tuttuğu dal elinde kalmak,negative
karacı,negative
yüzünü duvara yapıştırmak,negative
başına kakınç etmek,negative
mosmor kesilmek,negative
mantarlamak,negative
ağzını poyraza açmak,negative
nâra yanmak,negative
hıyar,negative
alçakça,negative
sekteye uğramak,negative
çıtını çıkarmamak,negative
münkir olmak,negative
polemiğe kaçmak,negative
zelil olmak,negative
çürük sakız,negative
enflüanza,negative
çekimser,negative
aynasız,negative
başını ateşlere yakmak,negative
otuz iki dişe keman çaldırmak,negative
ağırsama,negative
yortmak,negative
kulpunu bulmak,negative
hovardaca,negative
itaatsizlik etmek,negative
tezgâhçı,negative
sefil,negative
kanı başına çıkmak,negative
hata yapmak,negative
angarya,negative
ikmale kalmak,negative
söz taşımak,negative
kabuslu,negative
riayetsizlik,negative
firavun,negative
öksürük olmak,negative
çıkmazda olmak,negative
gözaltı,negative
sahte davranmak,negative
tavsamak,negative
tapon mal,negative
manita,negative
tepesinde değirmen çevirmek,negative
konuşma korkusu,negative
ağzını burnunu çarşamba çanağına çevirmek,negative
reddetme,negative
yavru atmak,negative
bir iğne bir iplik olmak,negative
köskötürüm,negative
eytam,negative
güçten düşürmek,negative
zavallı,negative
damdan düşercesine,negative
laubalileşmek,negative
ayıp,negative
meyus olmak,negative
aşağı,negative
toplumsal baskı,negative
zirzopluk,negative
süzülmek,negative
sözünü bilmemek,negative
usangın,negative
kara yanık,negative
dangalaklaşmak,negative
kaşınmak,negative
umudunu kaybetmek,negative
tutuya koymak,negative
sorutkan,negative
merhamet etmek,negative
namı nişanı kalmamak,negative
kanun dışı,negative
külah,negative
barut kokusu gelmek,negative
itlik,negative
kanı başına sıçramak,negative
yaramamak,negative
defteri dürülmek,negative
çenesi durmamak,negative
uykusuz kalmak,negative
zıtlanmak,negative
ses etmemek,negative
sipsivri kalmak,negative
dilini bağlamak,negative
uyanmak,negative
kavaracı,negative
hüzün,negative
kafasını kaldırmamak,negative
gözleri kan çanağına dönmek,negative
tertibe düşürmek,negative
ihanete uğramak,negative
örselemek,negative
atıcılık,negative
usanmak,negative
içine dert olmak,negative
ettiğini bulmak,negative
efkâr basmak,negative
itlaf,negative
perdahlamak,negative
altından girip üstünden çıkmak,negative
günahı kadar sevmemek,negative
metal yorulması,negative
mevhum,negative
sıkıntı,negative
halüsinasyon görmek,negative
yüzü asılmak,negative
kavgalaşmak,negative
mikropluk,negative
yolkesen,negative
kanını emmek,negative
perişan etmek,negative
haram lokma,negative
içe kapanık,negative
martavalcılık,negative
kavurmak,negative
biletini kesmek,negative
üstüne yüklenmek,negative
virane,negative
voli vurmak,negative
kükre,negative
işkillilik,negative
gürültülü patırtılı,negative
aynacı,negative
nafile yere,negative
soyuntu,negative
sökel,negative
bir atımlık barutu kalmak,negative
doğduğuna bin pişman,negative
taş koymak,negative
suçunu bağışlamak,negative
az görmek,negative
şirretlik etmek,negative
uyarsız,negative
ihtarname,negative
çenesini dağıtmak,negative
sinirlilik,negative
işten çıkartmak,negative
köstebek,negative
arapsaçı,negative
isyancı,negative
hayat kadını,negative
aslı astarı olmamak,negative
amiyane,negative
ayran ağızlı,negative
alkolizm,negative
zendostluk,negative
avanak,negative
ilgisini kesmek,negative
buyma,negative
lafı ağzından almak,negative
boynunu bükmek,negative
beberuhi,negative
sürü,negative
bela aramak,negative
bertilmek,negative
kendini naza çekmek,negative
korku,negative
ağlantı,negative
el ovuşturmak,negative
müteveffa,negative
