word,sentiment
sağlıklı,positive
müsaade etme,positive
iyiliği dokunmak,positive
meşkûr,positive
pozitif elektrik,positive
müreffeh,positive
kâfi,positive
uygarlaşma,positive
boş konuşmamak,positive
tertip etmek,positive
kanadı altına almak,positive
isteklendirmek,positive
gönlü zengin,positive
kerliferli,positive
ensesi kalın,positive
şeref konuğu,positive
hoşgörülülük,positive
arkalı,positive
sulhçu,positive
yağ çekmek,positive
tensikat,positive
şataf,positive
tereke,positive
tartılı,positive
hissiselim,positive
müstakim,positive
durumdan ders çıkarmak,positive
bayındırlık,positive
iyi hâl,positive
palas,positive
korte,positive
baba,positive
olabilmek,positive
pir ol,positive
baş gelmek,positive
iyi gün,positive
el vermek,positive
taşı toprağı altın olmak,positive
garazsız ivazsız,positive
ortak payda,positive
hayat adamı,positive
coşkulanmak,positive
suçsuz,positive
gönlü yüce,positive
istikrarlıca,positive
dünya görmüş,positive
haz almak,positive
kalp kazanmak,positive
azman,positive
olanak sağlamak,positive
dereceye girmek,positive
gülmekten yarılmak,positive
hüsnühal,positive
benzi kanlanmak,positive
mesutça,positive
efsane olmak,positive
istikrar,positive
kadirşinaslık,positive
itidal,positive
terfih,positive
nikbinlik,positive
mutabık olmak,positive
dikkatli,positive
yorgunluğunu çıkarmak,positive
dudak ısırmak,positive
alplık,positive
katışıksız,positive
teşci etmek,positive
fevkalâde,positive
ince düşünceli,positive
sözünün eri,positive
sıkıntısız,positive
aşılamak,positive
saftaron,positive
ilgi odağı olmak,positive
ağızda dağılmak,positive
varlık göstermek,positive
civelek,positive
aşı yapılmak,positive
kendini temize çıkarmak,positive
saygı duymak,positive
sevabına,positive
cengâver,positive
elinden tutmak,positive
sterilize,positive
gözü okşamak,positive
sunu,positive
fedakârca,positive
zekilik,positive
kanat germek,positive
geliştirme,positive
lütufkârane,positive
ad,positive
ak,positive
haklı bulmak,positive
mağfiret,positive
içtikleri su ayrı gitmemek,positive
er,positive
barışık olmak,positive
gülümseme,positive
mahviyet,positive
özsaygı,positive
şıklaşmak,positive
yakınlaşmak,positive
ihtiram,positive
dinçleşmek,positive
riyasız,positive
oh,positive
pek gözlü,positive
yerli yerinde olmak,positive
gayretkeş,positive
ümitli,positive
hayır dua almak,positive
katışıksızlık,positive
uz,positive
konforlu,positive
nazik,positive
bakımlı,positive
canciğer,positive
kuvvet,positive
